% Model:              GatedMirror_noBearings_RF_freqDomain.mph
% Version:            COMSOL 5.3.1.275
% Date:               Apr 7 2020, 20:26
% Table:              Table 1 - Global Evaluation 1 (emw.Vport_1, emw.Iport_1)
% freq (Hz)              Real Voltage (V) (V)     Imag Voltage (V) (V)     Real Current (A) (A)     Imag Current (A) (A)
100000000                50.3471001030047         -49.99128638317379       0.9930579979274933       0.9998257276634759
1.0232929922807537E8     49.17793095583241        -49.985527768176894      1.0164413808934578       0.9997105553216095
1.0471285480508985E8     48.00873336186372        -49.952431483736355      1.0398253327719353       0.9990486296313736
1.0715193052376048E8     46.840810136932205       -49.89200153443766       1.063183797269599        0.9978400306439635
1.0964781961431828E8     45.67539423214599        -49.80433530106972       1.086492115364282        0.9960867059751869
1.1220184543019652E8     44.51370813253264        -49.689600198099534      1.1097258373554324       0.993792003914386
1.1481536214968841E8     43.35695861367941        -49.548032487436465      1.1328608277313081       0.9909606496997561
1.1748975549395303E8     42.20633179436929        -49.37993568793658       1.1558733641162486       0.9875987137084216
1.2022644346174131E8     41.06298835585724        -49.18567855263276       1.1787402328851564       0.9837135710010437
1.230268770812381E8      39.92805897938925        -48.965692659695094      1.2014388204131152       0.9793138531410291
1.2589254117941661E8     38.802640051793745       -48.72046963110074       1.2239471989635586       0.9744093925679264
1.2882495516931322E8     37.687789765352925       -48.450558050206205      1.2462442046908444       0.9690111609488687
1.3182567385564047E8     36.584524071690396       -48.156559957409065      1.2683095185625037       0.9631311990918119
1.348962882591656E8      35.493813860743614       -47.83912729374651       1.2901237227797917       0.9567825458175023
1.3803842646028867E8     34.41658165062046        -47.49895792970101       1.311668366980554        0.949979158535593
1.4125375446227553E8     33.35369907931994        -47.13679159505174       1.3329260184048142       0.942735831841671
1.445439770745928E8      32.30598469814711        -46.75340564842814       1.3538803060264744       0.9350681129083263
1.479108388168207E8      31.274202155156406       -46.349610751149775      1.3745159568844507       0.9269922149619548
1.5135612484362072E8     30.259058787852386       -45.92624647584269       1.3948188242286563       0.9185249294550765
1.5488166189124796E8     29.261204586041835       -45.48417688917063       1.4147759082629603       0.9096835377209695
1.584893192461111E8      28.28123154860641        -45.02428615291326       1.4343753690097332       0.9004857229952276
1.621810097358933E8      27.319673404588983       -44.54747417592166       1.453606531888122        0.8909494834548739
1.659586907437563E8      26.377005697736063       -44.054652346190615      1.4724598860232019       0.8810930468598034
1.698243652461746E8      25.453646186370715       -43.54673938007671       1.490927076248515        0.8709347875371483
1.7378008287493762E8     24.549955577319846       -43.02465730542849       1.5090008884275279       0.8604931460438802
1.7782794100389227E8     23.66623854451062        -42.489327618976034      1.5266752290817014       0.8497865523145979
1.8197008586099824E8     22.802745004952943       -41.94166761581286       1.5439450998708404       0.8388333522511728
1.8620871366628656E8     21.95967164975325        -41.38258693282806       1.5608065669728217       0.8276517385913839
1.9054607179632443E8     21.137163678273883       -40.81298429924932       1.577256726400401        0.8162596859197848
1.9498445997580415E8     20.33531672541284        -40.2337445181881        1.5932936654556218       0.8046748902986032
1.9952623149688828E8     19.554178940266304       -39.645735674849526      1.6089164211565643       0.7929147134319388
2.0417379446695316E8     18.793753212898032       -39.049806594487166      1.6241249357019558       0.7809961318248597
2.089296130854041E8      18.053999491043786       -38.44678452566971       1.6389200101370835       0.7689356904487391
2.1379620895022324E8     17.33483719527704        -37.83747306997793       1.6533032560504815       0.7567494613351903
2.187761623949552E8      16.636147683557606       -37.222650346511415      1.6672770462829538       0.7444530068662011
2.238721138568338E8      15.95777677073749        -36.60306739231425       1.680844464537463        0.7320613477826515
2.29086765276777E8       15.299537196508435       -35.979446725893396      1.6940092560201765       0.7195889344546764
2.3442288153199178E8     14.661211236240012       -35.35248125819084       1.706775775223703        0.7070496251011145
2.3988329190194947E8     14.042553100151226       -34.72283322167168       1.7191489379436633       0.6944566643712646
2.4547089156850335E8     13.443291479142244       -34.09113346587747       1.7311341703620555       0.6818226692559538
2.511886431509582E8      12.86313191404718        -33.45798080609793       1.7427373616621975       0.6691596160609744
2.5703957827688646E8     12.30175915775157        -32.82394158619566       1.7539648167863782       0.6564788316635767
2.6302679918953815E8     11.758839457580171       -32.189549386047794      1.764823210788103        0.6437909876612992
2.691534803926914E8      11.234028378535978       -31.555299152549395      1.7753194324361512       0.6311059830567202
2.7542287033381635E8     10.726950419669304       -30.92167033425823       1.7854609916136468       0.6184334066907988
2.8183829312644494E8     10.237234759759014       -30.28909163529675       1.7952553048120123       0.6057818327114705
2.884031503126612E8      9.76449471362481         -29.65796507882126       1.8047101057348522       0.5931593015818606
2.9512092266663903E8     9.308335162242239        -29.028660166822377      1.8138332967626554       0.5805732033417816
3.019951720402019E8      8.868354254811903        -28.40151414706112       1.8226329149114098       0.568030282946455
3.090295432513592E8      8.444145040112844        -27.7768323720285        1.831117099205536        0.5555366474456999
3.1622776601683795E8     8.03529696131265         -27.154888641000316      1.8392940607816815       0.5430977728250337
3.2359365692962813E8     7.6413972635405845       -26.53592557926274       1.8471720547372612       0.5307185115901785
3.311311214825908E8      7.262032298049183        -25.920155012416583      1.8547593540472256       0.5184031002531524
3.3884415613920206E8     6.8967887271490165       -25.307758324625798      1.8620642254653628       0.5061551664972341
3.46736850452531E8       6.545254633531848        -24.698886785802493      1.8690949073378373       0.4939777357206661
3.5481338923357606E8     6.207020537897437        -24.093661829671724      1.8758595892506558       0.48187323659794984
3.630780547701018E8      5.881680328507448        -23.492175269019334      1.8823663934385837       0.46984350538480146
3.715352290971728E8      5.568832107394834        -22.894489426455227      1.888623357860964        0.45788978853341994
