time	V(gatedmirrorout)
0.000000000000000e+00	1.052209e+02
1.672858252527579e-12	1.052209e+02
5.018574757582738e-12	1.052209e+02
1.171000776769140e-11	1.052209e+02
2.458534554599427e-11	1.052209e+02
4.298591397656270e-11	1.052209e+02
6.061842897488828e-11	1.052209e+02
6.371370379208495e-11	1.052209e+02
6.990425342647828e-11	1.052209e+02
8.228535269526494e-11	1.052209e+02
1.070475512328383e-10	1.052209e+02
1.363444262328380e-10	1.052209e+02
1.656413012328377e-10	1.052209e+02
1.949381762328374e-10	1.052209e+02
2.535319262328369e-10	1.052209e+02
3.341964246982385e-10	1.052209e+02
4.148609231636401e-10	1.052209e+02
4.955254216290415e-10	1.052209e+02
5.761899200944433e-10	1.052209e+02
6.568544185598447e-10	1.052209e+02
7.375189170252463e-10	1.052209e+02
8.181834154906477e-10	1.052209e+02
3.980303102094170e-09	1.052209e+02
3.980303996163842e-09	1.052209e+02
3.980304024103519e-09	1.052209e+02
3.980304031088439e-09	1.052209e+02
3.980304045058277e-09	1.052209e+02
3.980304048550737e-09	1.052209e+02
3.980304055535656e-09	1.052209e+02
3.980304069505495e-09	1.052209e+02
3.980304069942052e-09	1.052209e+02
3.980304070051192e-09	1.052209e+02
3.980304070080489e-09	1.052210e+02
3.980304070139084e-09	1.052210e+02
3.980304070168381e-09	1.052210e+02
4.038897820168380e-09	1.052209e+02
4.068194695168380e-09	1.052209e+02
4.447626767565485e-09	1.052209e+02
4.447627965211129e-09	1.052209e+02
4.447628264622541e-09	1.052209e+02
4.447628339475393e-09	1.052209e+02
4.447628358188606e-09	1.052209e+02
4.447628362866910e-09	1.052209e+02
4.447628372223517e-09	1.052209e+02
4.447628390936729e-09	1.052209e+02
4.447628428363157e-09	1.052209e+02
4.447628437719764e-09	1.052209e+02
4.447628440058915e-09	1.052209e+02
4.447628444737218e-09	1.052209e+02
4.447628454093825e-09	1.052209e+02
4.447628472807038e-09	1.052209e+02
4.447628510233465e-09	1.052209e+02
4.447628585086318e-09	1.052209e+02
4.447628603799530e-09	1.052209e+02
4.447628641225957e-09	1.052209e+02
4.447628716078810e-09	1.052209e+02
4.447628865784515e-09	1.052209e+02
4.447628978063794e-09	1.052209e+02
4.447628996777007e-09	1.052209e+02
4.447629001455311e-09	1.052209e+02
4.447629002624886e-09	1.052209e+02
4.447629002917279e-09	1.052209e+02
4.447629002990377e-09	1.052209e+02
4.447629003136575e-09	1.052209e+02
4.447629003428968e-09	1.052209e+02
4.447629003502066e-09	1.052209e+02
4.447629003648264e-09	1.052209e+02
4.447629003684814e-09	1.052209e+02
4.447629003757912e-09	1.052209e+02
4.509884863132911e-09	1.052209e+02
4.517209081882910e-09	1.052209e+02
4.524208262578127e-09	1.052209e+02
4.524209859960288e-09	1.052209e+02
4.524209909878481e-09	1.052209e+02
4.524210009714866e-09	1.052209e+02
4.524210209387637e-09	1.052209e+02
4.524210608733177e-09	1.052209e+02
4.524210683909377e-09	1.052209e+02
4.524210784144313e-09	1.052209e+02
4.524210984614183e-09	1.052209e+02
4.524211085249260e-09	1.052209e+02
4.524211085310004e-09	1.052210e+02
4.586466944685004e-09	1.052209e+02
4.593791163435003e-09	1.052209e+02
5.190250075330762e-09	1.052209e+02
5.190251863470104e-09	1.052209e+02
5.190251921095691e-09	1.052209e+02
5.190251924588150e-09	1.052209e+02
5.190251931573068e-09	1.052209e+02
5.190251945542908e-09	1.052209e+02
5.190251973482584e-09	1.052209e+02
5.190252029361940e-09	1.052209e+02
5.190252141120649e-09	1.052209e+02
5.190252364638065e-09	1.052209e+02
5.190252811672901e-09	1.052209e+02
